Date,SP_500,VN_30,VN_Index,VN_Index_volum,XAU_USD,XAU_USD_volum,USD_VND,USD_VND_volum,Gold,Gold_volum,Oil,Oil_volum,Bitcoin,Bitcoin_volum,FPT
2022-11-23,4027.26,938.73,946.0,-0.64,1749.28,0.52,24844.0,-0.02,1744.9000244140625,39.0,85.41000366210938,27071.0,16610.70703125,32958875628.0,59990.0
2022-11-24,4026.69,940.76,947.71,0.18,1754.96,0.32,24833.0,-0.04,1749.1000366210938,127.5,84.52000045776367,19546.0,16604.46484375,26129037414.0,59990.0
2022-11-25,4026.12,967.49,971.46,2.51,1756.14,0.07,24760.0,-0.29,1753.300048828125,216.0,83.62999725341797,12021.0,16521.841796875,18678255976.0,61266.0
2022-11-26,4005.3933333333334,979.7733333333333,982.87,2.8466666666666667,1751.01,-0.24666666666666665,24763.333333333332,-0.18,1748.9000244140625,44399.666666666664,83.48333231608073,12208.333333333334,16464.28125,18000008764.0,61918.333333333336
2022-11-27,3984.6666666666665,992.0566666666667,994.2800000000001,3.183333333333333,1745.88,-0.5633333333333332,24766.666666666668,-0.07,1744.5,88583.33333333333,83.33666737874348,12395.666666666666,16444.626953125,20443898509.0,62570.666666666664
2022-11-28,3963.94,1004.34,1005.69,3.52,1740.75,-0.88,24770.0,0.04,1740.0999755859375,132767.0,83.19000244140625,12583.0,16217.322265625,27743025156.0,63223.0
2022-11-29,3957.63,1029.04,1032.16,2.63,1749.73,0.52,24750.0,-0.08,1748.4000244140625,19416.0,83.02999877929688,12182.0,16444.982421875,23581685468.0,63223.0
2022-11-30,4080.11,1049.21,1048.42,1.58,1768.45,1.07,24630.0,-0.48,1746.0,3339.0,85.43000030517578,23710.0,17168.56640625,29523576583.0,63479.0
2022-12-01,4076.57,1042.64,1036.28,-1.16,1802.89,1.95,24500.0,-0.53,1801.0999755859375,1053.0,86.87999725341797,23123.0,16967.1328125,22895392882.0,73808.0
2022-12-02,4071.7,1092.99,1080.01,4.22,1797.82,-0.28,24350.0,-0.61,1795.9000244140625,1725.0,85.56999969482422,23562.0,17088.66015625,19539705127.0,79354.66666666667
2022-12-03,4047.4133333333334,1098.9733333333334,1084.5633333333333,3.233333333333333,1788.01,-0.7333333333333334,24226.666666666668,-0.9133333333333333,1786.4000244140625,1721.0,84.6066665649414,24054.333333333332,16908.236328125,16217776704.0,84901.33333333333
2022-12-04,4023.1266666666666,1104.9566666666667,1089.1166666666668,2.246666666666666,1778.2,-1.1866666666666665,24103.333333333332,-1.2166666666666668,1776.9000244140625,1717.0,83.6433334350586,24546.666666666668,17130.486328125,16824520830.0,90448.0
2022-12-05,3998.84,1110.94,1093.67,1.26,1768.39,-1.64,23980.0,-1.52,1767.4000244140625,1713.0,82.68000030517578,25039.0,16974.826171875,22209086834.0,67011.0
2022-12-06,3941.26,1054.06,1048.69,-4.11,1770.91,0.14,23980.0,0.0,1769.300048828125,105.0,79.3499984741211,26680.0,17089.50390625,19889922369.0,68623.0
2022-12-07,3933.92,1047.58,1041.02,-0.73,1786.22,0.86,23900.0,-0.33,1785.5,422.0,77.16999816894531,26919.0,16848.126953125,19675404389.0,70235.0
2022-12-08,3963.51,1062.73,1050.53,0.91,1789.23,0.17,23780.0,-0.5,1788.699951171875,713.0,76.1500015258789,33131.0,17233.474609375,20496603770.0,72759.0
2022-12-09,3934.38,1065.08,1051.81,0.12,1796.63,0.41,23550.0,-0.97,1798.0999755859375,125.0,76.0999984741211,24479.0,17133.15234375,20328426366.0,71988.0
2022-12-10,3953.1066666666666,1055.86,1045.23,-0.5466666666666666,1791.47,-0.013333333333333364,23593.333333333332,-0.46333333333333326,1792.2333170572917,111.66666666666667,76.72999827067058,23992.666666666668,17128.724609375,12706781969.0,61607.0
2022-12-11,3971.8333333333335,1046.64,1038.6499999999999,-1.2133333333333334,1786.3100000000002,-0.4366666666666667,23636.666666666668,0.043333333333333446,1786.3666585286458,98.33333333333333,77.35999806722005,23506.333333333332,17104.193359375,14122486832.0,63564.0
2022-12-12,3990.56,1037.42,1032.07,-1.88,1781.15,-0.86,23680.0,0.55,1780.5,85.0,77.98999786376953,23020.0,17206.4375,19617581341.0,65521.0
2022-12-13,4019.65,1056.43,1047.45,1.49,1810.29,1.64,23600.0,-0.34,1813.9000244140625,205.0,80.68000030517578,30052.0,17781.318359375,26634741631.0,65691.0
2022-12-14,3995.32,1056.17,1050.43,0.28,1807.27,-0.17,23520.0,-0.34,1807.5,1074.0,82.69999694824219,27330.0,17815.650390625,25534481470.0,64925.0
2022-12-15,3895.75,1068.08,1055.32,0.47,1776.66,-1.69,23500.0,-0.09,1777.199951171875,421.0,81.20999908447266,26470.0,17364.865234375,20964448341.0,66117.0
2022-12-16,3852.36,1064.07,1052.48,-0.27,1792.34,0.88,23580.0,0.34,1790.0,206.0,79.04000091552734,24439.0,16647.484375,24031608960.0,66287.0
2022-12-17,3840.7933333333335,1059.4533333333334,1047.7866666666666,-0.6266666666666667,1790.7066666666667,0.4966666666666667,23620.0,0.39666666666666667,1789.2333170572917,163.66666666666666,79.2933349609375,22851.333333333332,16795.091796875,14463581825.0,65918.33333333333
2022-12-18,3829.2266666666665,1054.8366666666666,1043.0933333333335,-0.9833333333333334,1789.0733333333333,0.1133333333333334,23660.0,0.45333333333333337,1788.4666341145833,121.33333333333333,79.54666900634766,21263.666666666668,16757.9765625,10924354698.0,65549.66666666667
2022-12-19,3817.66,1050.22,1038.4,-1.34,1787.44,-0.27,23700.0,0.51,1787.699951171875,79.0,79.80000305175781,19676.0,16439.6796875,17221074814.0,65181.0
2022-12-20,3821.62,1029.79,1023.13,-1.47,1817.41,1.68,23730.0,0.13,1815.9000244140625,51.0,79.98999786376953,19646.0,16906.3046875,22722096615.0,65181.0
2022-12-21,3878.44,1033.1,1018.88,-0.42,1814.13,-0.18,23700.0,-0.13,1815.9000244140625,35.0,82.19999694824219,17234.0,16817.53515625,14882945045.0,65691.0
2022-12-22,3822.39,1038.34,1022.61,0.37,1792.57,-1.19,23630.0,-0.3,1787.0,411.0,80.9800033569336,16647.0,16830.341796875,16441573050.0,65691.0
2022-12-23,3844.82,1034.13,1020.34,-0.22,1797.91,0.3,23560.0,-0.3,1795.9000244140625,49.0,83.91999816894531,8621.0,16796.953125,15329265213.0,66372.0
2022-12-24,3840.9275000000002,1018.6766666666667,1008.63,-1.2933333333333332,1797.81,0.1933333333333333,23570.0,-0.15666666666666665,1800.6250305175781,54.0,84.02249908447266,8343.75,16847.755859375,9744636213.0,65918.0
2022-12-25,3837.035,1003.2233333333334,996.9200000000001,-2.3666666666666667,1797.71,0.08666666666666664,23580.0,-0.013333333333333308,1805.3500366210938,59.0,84.125,8066.5,16841.986328125,11656379938.0,65464.0
2022-12-26,3833.1425,987.77,985.21,-3.44,1797.61,-0.02,23590.0,0.13,1810.0750427246094,64.0,84.22750091552734,7789.25,16919.8046875,11886957804.0,65010.0
2022-12-27,3829.25,1007.36,1004.57,1.97,1813.93,0.91,23580.0,-0.04,1814.800048828125,69.0,84.33000183105469,7512.0,16717.173828125,15748580239.0,65095.0
2022-12-28,3783.22,1013.95,1015.66,1.1,1804.09,-0.54,23620.0,0.17,1807.9000244140625,434.0,83.26000213623047,5384.0,16552.572265625,17005713920.0,65266.0
2022-12-29,3849.28,1008.3,1009.29,-0.63,1814.89,0.6,23600.0,-0.08,1819.5,277.0,82.26000213623047,20599.0,16642.341796875,14472237479.0,64840.0
