Date,EUR
2023-05-16,1847.29
2023-05-17,1821.07
2023-05-18,1821.33
2023-05-19,1812.77
2023-05-22,1822.66
2023-05-23,1828.92
2023-05-24,1831.21
2023-05-25,1818.58
2023-05-26,1817.07
2023-05-29,1817.07
2023-05-30,1821.15
2023-05-31,1846.59
2023-06-01,1834.9
2023-06-02,1833.1
2023-06-05,1829.4
2023-06-06,1831.26
2023-06-07,1839.85
2023-06-08,1823.27
2023-06-09,1823.87
2023-06-12,1816.82
2023-06-13,1809.29
2023-06-14,1800.59
2023-06-15,1783.95
2023-06-16,1792.34
2023-06-19,1787.42
2023-06-20,1768.62
2023-06-21,1755.22
2023-06-22,1752.67
2023-06-23,1773.56
2023-06-26,1762.67
2023-06-27,1750.98
2023-06-28,1749.06
2023-06-29,1747.4
2023-06-30,1751.47
2023-07-03,1766.9
2023-07-04,1769.39
2023-07-05,1772.07
2023-07-06,1755.54
2023-07-07,1752.01
2023-07-10,1749.75
2023-07-11,1757.66
2023-07-12,1754.67
2023-07-13,1747.32
2023-07-14,1738.32
2023-07-17,1735.6
2023-07-18,1761.03
2023-07-19,1764.97
2023-07-20,1776.43
2023-07-21,1762.5
2023-07-24,1768.63
2023-07-25,1773.86
2023-07-26,1775.92
2023-07-27,1770.11
2023-07-28,1772.4
2023-07-31,1790.36
2023-08-01,1774.7
2023-08-02,1775.36
2023-08-03,1766.91
2023-08-04,1760.42
2023-08-07,1755.93
2023-08-08,1759.59
2023-08-09,1751.46
2023-08-10,1744.21
2023-08-11,1750.07
2023-08-14,1742.08
2023-08-15,1743.77
2023-08-16,1749.06
2023-08-17,1743.29
2023-08-18,1741.65
2023-08-21,1733.49
2023-08-22,1744.47
2023-08-23,1764.38
2023-08-24,1771.6
2023-08-25,1774.27
2023-08-28,1774.27
2023-08-29,1776.67
2023-08-30,1782.49
2023-08-31,1791.95
2023-09-01,1799.47
2023-09-04,1794.7
2023-09-05,1795.06
2023-09-06,1792.79
2023-09-07,1792.18
2023-09-08,1800.84
2023-09-11,1790.48
2023-09-12,1779.87
2023-09-13,1781.77
2023-09-14,1785.85
2023-09-15,1806.32
2023-09-18,1799.01
2023-09-19,1810.86
2023-09-20,1810.29
2023-09-21,1797.11
2023-09-22,1808.7
2023-09-25,1817.78
2023-09-26,1804.38
2023-09-27,1796.92
2023-09-28,1774.53
2023-09-29,1768.29
2023-10-02,1747.59
2023-10-03,1741.97
2023-10-04,1730.36
2023-10-05,1726.89
2023-10-06,1720.01
2023-10-09,1751.61
2023-10-10,1749.08
2023-10-11,1764.17
2023-10-12,1776.47
2023-10-13,1816.73
2023-10-16,1818.57
2023-10-17,1822.5
2023-10-18,1856.03
2023-10-19,1843.49
2023-10-20,1877.71
2023-10-23,1849.98
2023-10-24,1854.77
2023-10-25,1875.46
2023-10-26,1875.77
2023-10-27,1873.67
2023-10-30,1882.57
2023-10-31,1888.32
2023-11-01,1885.48
2023-11-02,1866.39
2023-11-03,1857.55
2023-11-06,1848.55
2023-11-07,1836.38
2023-11-08,1829.8
2023-11-09,1828.54
2023-11-10,1818.19
2023-11-13,1805.49
2023-11-14,1810.95
2023-11-15,1804.13
2023-11-16,1823.3
2023-11-17,1819.15
2023-11-20,1799.87
2023-11-21,1837.38
2023-11-22,1836.15
2023-11-23,1827.3
2023-11-24,1828.76
2023-11-27,1841.69
2023-11-28,1843.68
2023-11-29,1864.93
2023-11-30,1869.1
2023-12-01,1879.62
2023-12-04,1892.71
2023-12-05,1874.86
2023-12-06,1879.43
2023-12-07,1874.33
2023-12-08,1866.96
2023-12-11,1849.08
2023-12-12,1836.16
2023-12-13,1838.37
2023-12-14,1859.25
2023-12-15,1862.79
2023-12-18,1852.08
2023-12-19,1860.0
2023-12-20,1857.59
2023-12-21,1858.46
2023-12-22,1858.46
2023-12-25,1858.46
2023-12-26,1858.46
2023-12-27,1863.48
2023-12-28,1876.83
2023-12-29,1876.83
2024-01-01,1876.83
2024-01-02,1888.0
2024-01-03,1872.28
2024-01-04,1862.6
2024-01-05,1878.63
2024-01-08,1846.88
2024-01-09,1861.08
2024-01-10,1848.09
2024-01-11,1852.94
2024-01-12,1877.31
2024-01-15,1872.4
2024-01-16,1876.23
2024-01-17,1851.25
2024-01-18,1853.78
2024-01-19,1862.76
2024-01-22,1855.36
2024-01-23,1867.57
2024-01-24,1856.63
