Price,Close,High,Low,Open,Volume
Ticker,BATS.L,BATS.L,BATS.L,BATS.L,BATS.L
Date,,,,,
1995-12-21,-1300.325439453125,-1300.325439453125,-1300.325439453125,-1300.325439453125,3464380
1995-12-22,-1304.87451171875,-1304.87451171875,-1304.87451171875,-1304.87451171875,1930100
1995-12-25,-1304.87451171875,-1304.87451171875,-1304.87451171875,-1304.87451171875,0
1995-12-26,-1304.87451171875,-1304.87451171875,-1304.87451171875,-1304.87451171875,0
1995-12-27,-1323.3153076171875,-1323.3153076171875,-1323.3153076171875,-1323.3153076171875,3478948
1995-12-28,-1311.7777099609375,-1311.7777099609375,-1311.7777099609375,-1311.7777099609375,3179278
1995-12-29,-1303.7838134765625,-1303.7838134765625,-1303.7838134765625,-1303.7838134765625,1576215
1996-01-01,-1303.7838134765625,-1303.7838134765625,-1303.7838134765625,-1303.7838134765625,0
1996-01-02,-1298.0570068359375,-1298.0570068359375,-1298.0570068359375,-1298.0570068359375,2298936
1996-01-03,-1295.6907958984375,-1295.6907958984375,-1295.6907958984375,-1295.6907958984375,3234394
1996-01-04,-1298.0570068359375,-1298.0570068359375,-1298.0570068359375,-1298.0570068359375,4194077
1996-01-05,-1279.625244140625,-1279.625244140625,-1279.625244140625,-1279.625244140625,3843325
1996-01-08,-1279.625244140625,-1279.625244140625,-1279.625244140625,-1279.625244140625,1762573
1996-01-09,-1272.71142578125,-1272.71142578125,-1272.71142578125,-1272.71142578125,3685686
1996-01-10,-1270.4521484375,-1270.4521484375,-1270.4521484375,-1270.4521484375,7651699
1996-01-11,-1271.611328125,-1271.611328125,-1271.611328125,-1271.611328125,4192022
1996-01-12,-1265.8175048828125,-1265.8175048828125,-1265.8175048828125,-1265.8175048828125,7760758
1996-01-15,-1281.9708251953125,-1281.9708251953125,-1281.9708251953125,-1281.9708251953125,2861928
1996-01-16,-1306.052734375,-1306.052734375,-1306.052734375,-1306.052734375,6014288
1996-01-17,-1309.4984130859375,-1309.4984130859375,-1309.4984130859375,-1309.4984130859375,6019311
1996-01-18,-1331.3094482421875,-1331.3094482421875,-1331.3094482421875,-1331.3094482421875,397701
1996-01-19,-1325.5843505859375,-1325.5843505859375,-1325.5843505859375,-1325.5843505859375,2255623
1996-01-22,-1327.853515625,-1327.853515625,-1327.853515625,-1327.853515625,2018412
1996-01-23,-1325.5843505859375,-1325.5843505859375,-1325.5843505859375,-1325.5843505859375,1798668
1996-01-24,-1332.4976806640625,-1332.4976806640625,-1332.4976806640625,-1332.4976806640625,3669032
1996-01-25,-1309.4984130859375,-1309.4984130859375,-1309.4984130859375,-1309.4984130859375,4701133
1996-01-26,-1311.7777099609375,-1311.7777099609375,-1311.7777099609375,-1311.7777099609375,2322251
1996-01-29,-1309.4984130859375,-1309.4984130859375,-1309.4984130859375,-1309.4984130859375,1519653
1996-01-30,-1330.2091064453125,-1330.2091064453125,-1330.2091064453125,-1330.2091064453125,3727446
1996-01-31,-1342.837646484375,-1342.837646484375,-1342.837646484375,-1342.837646484375,6589069
1996-02-01,-1334.75732421875,-1334.75732421875,-1334.75732421875,-1334.75732421875,4634313
1996-02-02,-1343.9398193359375,-1343.9398193359375,-1343.9398193359375,-1343.9398193359375,2969270
1996-02-05,-1318.6707763671875,-1318.6707763671875,-1318.6707763671875,-1318.6707763671875,5740079
1996-02-06,-1323.3153076171875,-1323.3153076171875,-1323.3153076171875,-1323.3153076171875,5812946
1996-02-07,-1302.6051025390625,-1302.6051025390625,-1302.6051025390625,-1302.6051025390625,3319984
1996-02-08,-1284.249267578125,-1284.249267578125,-1284.249267578125,-1284.249267578125,3620181
1996-02-09,-1302.6051025390625,-1302.6051025390625,-1302.6051025390625,-1302.6051025390625,7603671
1996-02-12,-1307.2294921875,-1307.2294921875,-1307.2294921875,-1307.2294921875,2133383
1996-02-13,-1307.2294921875,-1307.2294921875,-1307.2294921875,-1307.2294921875,3092262
1996-02-14,-1293.4317626953125,-1293.4317626953125,-1293.4317626953125,-1293.4317626953125,3001418
1996-02-15,-1303.7838134765625,-1303.7838134765625,-1303.7838134765625,-1303.7838134765625,3794916
1996-02-16,-1314.123046875,-1314.123046875,-1314.123046875,-1314.123046875,6365779
1996-02-19,-1291.1429443359375,-1291.1429443359375,-1291.1429443359375,-1291.1429443359375,1863696
1996-02-20,-1286.518798828125,-1286.518798828125,-1286.518798828125,-1286.518798828125,0
1996-02-21,-1316.4119873046875,-1316.4119873046875,-1316.4119873046875,-1316.4119873046875,5346047
